,nome,estado
864555,Nazaré Araújo,AC
108310,Alan Rick,AC
629111,Dr. Jenilson Leite,AC
370322,Alan Rick,AC
1308421,Nulo,AC
649029,Dr. Jenilson Leite,AC
242700,Nazaré Araújo,AC
131490,Nulo,AC
357140,Dr. Jenilson Leite,AC
1283081,Dr. Jenilson Leite,AC
319572,Marcia Bittar,AC
700493,Ney Amorim,AC
1078955,Nazaré Araújo,AC
431104,Marcia Bittar,AC
650967,Dr. Jenilson Leite,AC
976786,Nulo,AC
1091579,Alan Rick,AC
1155696,Nulo,AC
654619,Dr. Jenilson Leite,AC
168824,Ney Amorim,AC
1236884,Alan Rick,AC
548482,Alan Rick,AC
614085,Marcia Bittar,AC
1104832,Branco,AC
1055447,Nazaré Araújo,AC
581536,Alan Rick,AC
392630,Dr. Jenilson Leite,AC
622536,Alan Rick,AC
886442,Alan Rick,AC
863688,Alan Rick,AC
513753,Dr. Jenilson Leite,AC
45851,Dra. Vanda Milani,AC
660211,Nulo,AC
708336,Dr. Jenilson Leite,AC
111010,Marcia Bittar,AC
931811,Alan Rick,AC
394068,Alan Rick,AC
651443,Dr. Jenilson Leite,AC
223878,Alan Rick,AC
418850,Nazaré Araújo,AC
999322,Marcia Bittar,AC
751196,Ney Amorim,AC
998945,Alan Rick,AC
530497,Nazaré Araújo,AC
63351,Alan Rick,AC
1057856,Dr. Jenilson Leite,AC
634852,Alan Rick,AC
1007650,Alan Rick,AC
1237263,Dr. Jenilson Leite,AC
698912,Dr. Jenilson Leite,AC
243020,Marcia Bittar,AC
8175,Alan Rick,AC
883551,Nazaré Araújo,AC
417079,Alan Rick,AC
971398,Ney Amorim,AC
768883,Dr. Jenilson Leite,AC
694174,Branco,AC
249166,Alan Rick,AC
996245,Alan Rick,AC
527804,Alan Rick,AC
1038567,Alan Rick,AC
671499,Dr. Jenilson Leite,AC
252798,Marcia Bittar,AC
56632,Ney Amorim,AC
1357852,Ney Amorim,AC
662337,Branco,AC
661957,Marcia Bittar,AC
1311027,Ney Amorim,AC
692495,Ney Amorim,AC
598923,Dr. Jenilson Leite,AC
49828,Ney Amorim,AC
154833,Branco,AC
139459,Dr. Jenilson Leite,AC
379134,Nazaré Araújo,AC
188907,Sanderson Moura,AC
974096,Marcia Bittar,AC
1085046,Dra. Vanda Milani,AC
704855,Ney Amorim,AC
1097388,Marcia Bittar,AC
277943,Dr. Jenilson Leite,AC
229527,Ney Amorim,AC
676800,Alan Rick,AC
657499,Dr. Jenilson Leite,AC
736875,Alan Rick,AC
1249217,Dra. Vanda Milani,AC
447355,Alan Rick,AC
35523,Dr. Jenilson Leite,AC
993450,Nulo,AC
249302,Alan Rick,AC
286637,Alan Rick,AC
269020,Dr. Jenilson Leite,AC
1033488,Alan Rick,AC
868871,Dr. Jenilson Leite,AC
1309639,Nulo,AC
66502,Dra. Vanda Milani,AC
322354,Nulo,AC
941466,Ney Amorim,AC
549159,Dr. Jenilson Leite,AC
188756,Ney Amorim,AC
1139156,Ney Amorim,AC
475232,Dra. Vanda Milani,AC
1296334,Dr. Jenilson Leite,AC
827745,Marcia Bittar,AC
722954,Dr. Jenilson Leite,AC
893012,Nazaré Araújo,AC
1305450,Ney Amorim,AC
118040,Nazaré Araújo,AC
681453,Marcia Bittar,AC
1263179,Alan Rick,AC
288367,Dra. Vanda Milani,AC
1137588,Dra. Vanda Milani,AC
255283,Alan Rick,AC
859177,Alan Rick,AC
711675,Alan Rick,AC
95262,Ney Amorim,AC
889288,Dra. Vanda Milani,AC
644594,Alan Rick,AC
21815,Alan Rick,AC
1295414,Marcia Bittar,AC
126531,Alan Rick,AC
1367692,Ney Amorim,AC
241001,Alan Rick,AC
168783,Ney Amorim,AC
480857,Marcia Bittar,AC
1123079,Dr. Jenilson Leite,AC
483633,Dr. Jenilson Leite,AC
114011,Nulo,AC
163633,Alan Rick,AC
765508,Nulo,AC
70747,Nazaré Araújo,AC
1192149,Alan Rick,AC
525955,Marcia Bittar,AC
942202,Alan Rick,AC
446725,Nazaré Araújo,AC
72551,Ney Amorim,AC
791263,Alan Rick,AC
453278,Alan Rick,AC
370345,Dr. Jenilson Leite,AC
930350,Alan Rick,AC
38277,Dr. Jenilson Leite,AC
39039,Alan Rick,AC
1344470,Marcia Bittar,AC
998117,Alan Rick,AC
105498,Marcia Bittar,AC
412679,Ney Amorim,AC
1368513,Nulo,AC
925933,Ney Amorim,AC
1127920,Ney Amorim,AC
903280,Dr. Jenilson Leite,AC
1370649,Marcia Bittar,AC
918495,Ney Amorim,AC
1315372,Ney Amorim,AC
428794,Nulo,AC
4927,Ney Amorim,AC
45718,Alan Rick,AC
7546,Nazaré Araújo,AC
120295,Ney Amorim,AC
1355984,Ney Amorim,AC
368136,Ney Amorim,AC
333874,Dimas Sandas,AC
300453,Nazaré Araújo,AC
1269840,Dr. Jenilson Leite,AC
974093,Alan Rick,AC
626040,Ney Amorim,AC
321948,Marcia Bittar,AC
402661,Dr. Jenilson Leite,AC
247294,Nulo,AC
1010951,Branco,AC
1368292,Branco,AC
76344,Dra. Vanda Milani,AC
611581,Marcia Bittar,AC
1161125,Alan Rick,AC
1186172,Ney Amorim,AC
